code,system
Q408200,readv2
Q408400,readv2
Q408500,readv2
Q408600,readv2
Q40y011,readv2
Q40A.00,readv2
Qyu4200,readv2
Q40A000,readv2
Q40A300,readv2
Q40A100,readv2
Q40A200,readv2
Q40y100,readv2
110079.0,med
13303.0,med
22031.0,med
3613.0,med
39324.0,med
39691.0,med
47693.0,med
54637.0,med
55606.0,med
56336.0,med
60617.0,med
6097.0,med
66780.0,med
67438.0,med
68665.0,med
93976.0,med
96710.0,med
96711.0,med
98366.0,med
98669.0,med
99123.0,med
Q40W.00,readv2
Q40y.00,readv2
Q40y000,readv2
Q40yz00,readv2
Qyu4100,readv2
Qyu4800,readv2
Q40y012,readv2
Q40y200,readv2
Q40z.00,readv2